train loss,val loss, val acc, val nutri loss, val class loss
18753.855008610757, 2204.6773364283144, 0.666309464579586, 326.5862717144191, 1878.0910647138953
12489.19357723766, 1738.1588750621304, 0.7400972099965556, 315.5384764522314, 1422.620398609899
11600.96499706246, 1417.0186172346584, 0.7805503463584523, 313.18578359950334, 1103.832833635155
10594.692659973167, 1312.650928632589, 0.7967009835814612, 309.7194850370288, 1002.9314435955603
8951.400557636342, 1209.9685152082238, 0.8138084121091508, 317.8527559041977, 892.1157593040261
9501.541511705844, 1143.207072961959, 0.824907191243446, 314.75358732044697, 828.4534856415121
8507.358685750747, 1110.5375362199848, 0.8271652187224923, 314.37403677403927, 796.1634994459455
8509.845494607638, 1089.767940346297, 0.8359294270733667, 340.9560895226896, 748.8118508236075
7280.219690746337, 1029.201389879221, 0.8414405449883271, 311.3721280619502, 717.8292618172709
6644.566050870169, 1011.6831355242466, 0.8432393126411267, 310.6370031312108, 701.0461323930358
6957.673556933994, 1003.8832724858476, 0.8460331432507942, 318.83153226971626, 685.0517402161313
6893.532708935323, 979.6773272338323, 0.8483294423820277, 311.51323552802205, 668.1640917058103
6213.984478828148, 969.9009232678145, 0.8499368517738911, 309.8638686314225, 660.037054636392
7461.370108412928, 959.6238742792593, 0.8537257453404263, 312.25702465698123, 647.3668496222781
6010.543028496322, 944.7621205976757, 0.8546059933407325, 312.8101649656892, 631.9519556319865
5091.636257805163, 959.0116398417449, 0.8536874736882392, 319.8677403405309, 639.143899501214
5822.090901590185, 922.7053788395788, 0.8585479735160166, 308.3740582242608, 614.331320615318
4814.698252759175, 915.7812863435101, 0.8590837766466378, 309.44397369772196, 606.3373126457882
4374.921252362619, 921.378369974087, 0.8597343947338206, 318.71624194830656, 602.6621280257805
5484.191090637294, 911.759916830033, 0.862681311952237, 311.40692111104727, 600.3529957189858
5600.990522216962, 921.3062270059163, 0.8616097056909947, 322.5644126608968, 598.7418143450195
5294.784768901474, 982.2964585431055, 0.8622220521259902, 377.43186466395855, 604.8645938791469
5148.949369618029, 923.1086893103147, 0.8637529182134793, 336.26374492794275, 586.844944382372
5388.335638505057, 922.545465734479, 0.8654751425619044, 340.4825864881277, 582.0628792463513
